Local_To_Overseas_Twinnings::pk_local_to_overseas_twinnings_ID,Local_To_Overseas_Twinnings::fk_localconference_ID,Local_To_Overseas_Twinnings::fk_overseasconference_ID,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_ActiveFlag,Local_To_Overseas_Twinnings::----- U I  F I E L D S -----,Local_To_Overseas_Twinnings::c_UI_local_to_overseas_twinnings_GreenActive,Local_To_Overseas_Twinnings::c_UI_local_to_overseas_twinnings_RedInActive,Local_To_Overseas_Twinnings::----- L O O K  U P S -----,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_Name_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_State_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_DioCouncil_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_RegionalCouncil_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_Parish_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Overseas_Conf_Name_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Overseas_Conf_Country_LU
5664,44,6786,,,,,,ST AGATHA,,SOUTHERN,NUNDAH,CLAYFIELD,OUR VIRGIN OF POOR: THIRUVERRIYUR,INDIA
3407,46,104,,,,,,REAL PRESENCE,,SOUTHERN,NUNDAH,NUNDAH,ST THOMAS: CHUNDAKULAM,INDIA
5046,46,5774,,,,,,REAL PRESENCE,,SOUTHERN,NUNDAH,NUNDAH,PUMITHA PANIMATHA: KUDAIYAPATHI,INDIA
3373,47,47,,,,,,HOLY ROSARY,,SOUTHERN,NUNDAH,WINDSOR,ST ANTHONY: MUTHALAGUPATTI,INDIA
3375,47,49,,,,,,HOLY ROSARY,,SOUTHERN,NUNDAH,WINDSOR,FATHIMA MATHA: FATHIMAPURAM,INDIA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5026,53,5754,,,,,,ST PASCHAL,,NORTHERN,NORTHERN SUBURBS,PINE RIVERS,BALAK YESU: MADANGIR,INDIA
5123,55,5937,,,,,,ST ANDREW,,SYDNEY ARCH,SOUTH SYDNEY,MALABAR,ST SEBASTIAN: MANNUVAYAL,INDIA
5581,55,6681,,,,,,ST ANDREW,,SYDNEY ARCH,SOUTH SYDNEY,MALABAR,ST MARTIN DE-PORESS: MULAKARAMEDU,INDIA
3380,56,56,,,,,,ST KEVIN,,NORTHERN,NORTHERN SUBS,GEEBUNG,ST ANTHONY: ,INDIA
4974,56,5578,,,,,,ST KEVIN,,NORTHERN,NORTHERN SUBS,GEEBUNG,ST JOSEPH: ,VANUATU
3381,57,57,,,,,,ST LAWRENCE,,NORTHERN,NORTHERN SUBS,BRIGHTON,ST JOSEPH THE WORKER: ,INDIA
4783,57,2468,,,,,,ST LAWRENCE,,NORTHERN,NORTHERN SUBS,BRIGHTON,ST SEBASTIAN: EDAKULAM,INDIA
3423,58,121,,,,,,ST ANTHONY,,NORTHERN,NORTHERN SUBS,BALD HILLS,ST PETER: ,PAKISTAN
4782,58,2467,,,,,,ST ANTHONY,,NORTHERN,NORTHERN SUBS,BALD HILLS,ST ANTONY : PADUVA NAGAR,INDIA
,,,,,,,,,,,,,,
3421,61,119,,,,,,O.L. OF ST DYMPNA,,NORTHERN,NORTHERN SUBS,ASPLEY,ST FABIAN: ,PAKISTAN
5162,61,6027,,,,,,O.L. OF ST DYMPNA,,NORTHERN,NORTHERN SUBS,ASPLEY,BLESSED ALPHONSA: VIKASPURI,INDIA
3384,63,63,,,,,,ST FLANNAN,,NORTHERN,NORTHERN SUBS,ZILLMERE NORTH,LITTLE FLOWER: ,INDIA
,,,,,,,,,,,,,,
3385,64,64,,,,,,MARY HELP OF CHRISTIANS,,TOWNSVILLE,TOWNSVILLE,BELGIAN GARDENS,ST MICHAEL: SHIMLA,INDIA
,,,,,,,,,,,,,,
5603,64,6704,,,,,,MARY HELP OF CHRISTIANS,,TOWNSVILLE,TOWNSVILLE,BELGIAN GARDENS,SANTI RANI: KHORDE,BANGLADESH
3386,65,65,,,,,,SACRED HEART,,NORTHERN,NORTHERN SUBS,SANDGATE,VIMALA MATHA: EAST KARANCHIRA,INDIA
4977,65,5581,,,,,,SACRED HEART,,NORTHERN,NORTHERN SUBS,SANDGATE,SAINTE THERESE: ,VANUATU
,,,,,,,,,,,,,,
5005,67,5711,,,,,,HOLY TRINITY,,NORTHERN,NORTHERN SUBS,BANYO,ST ANTHONY DE PADUA: ,PHILIPPINES
3389,70,69,,,,,,ST WILLIAM,,WESTERN BRISBANE,NORTH WESTERN,GROVELY,ST JOSEPH (ADULTS): ST JOSEPH PARISH,PHILIPPINES
3390,70,70,,,,,,ST WILLIAM,,WESTERN BRISBANE,NORTH WESTERN,GROVELY,ST JOSEPH (Y): ST JOSEPH PARISH,PHILIPPINES
3393,71,79,,,,,,LITTLE FLOWER,,WESTERN BRISBANE,NORTH WESTERN,KEDRON,ST IGNATIUS: KARUNGULAM,INDIA
5092,71,5875,,,,,,LITTLE FLOWER,,WESTERN BRISBANE,NORTH WESTERN,KEDRON,CRISTO REY: MAMATID,PHILIPPINES
5245,74,6147,,,,,,O.L. OF DOLOURS,,WESTERN BRISBANE,NORTH WESTERN,MITCHELTON,ST VINCENT FERRER: ,PHILIPPINES
5246,74,6148,,,,,,O.L. OF DOLOURS,,WESTERN BRISBANE,NORTH WESTERN,MITCHELTON,LAZARUS: RANGKASBITUNG,INDONESIA
5280,76,6201,,,,,,ST COLUMBA,,WESTERN BRISBANE,NORTH WESTERN,WILSTON,ROSALIE RENDU (Y): ,PHILIPPINES
4656,77,2284,,,,,,OUR LADY QUEEN OF APOSTLES,,WESTERN BRISBANE,NORTH WESTERN,STAFFORD,ST YOHANES: ,INDONESIA
5004,77,5710,,,,,,OUR LADY QUEEN OF APOSTLES,,WESTERN BRISBANE,NORTH WESTERN,STAFFORD,IMMACULATE CONCEPTION PARTICULAR COUNCIL: SOUTHERN LEYTE,PHILIPPINES
,,,,,,,,,,,,,,
5954,2459,81,,,,,,ALL SAINTS,QLD,NORTHERN,NORTHERN SUBS,ALBANY CREEK,ST JUDE (Y) SRN: 81: ,PHILIPPINES
5955,67,2483,,,,,,HOLY TRINITY,QLD,NORTHERN,NORTHERN SUBS,BANYO,ST KANIKKAI ANNAI SRN: 2483: MUTHUPETTAI,INDIA
5956,31,5762,,,,,,ST STEPHEN'S CATHEDRAL,QLD,SOUTHERN,NUNDAH,BRISBANE,SACRED HEART OF MARY SRN: 5762: WEST GOPALAPURAM,INDIA
5750,82,86,,,,,,ST MICHAEL,QLD,WESTERN BRISBANE,ROSALIE,DORRINGTON,LITTLE FLOWER SRN 86: ORUMANAYUR,INDIA
5751,82,6534,,,,,,ST MICHAEL,QLD,WESTERN BRISBANE,ROSALIE,DORRINGTON,ST SANTHIYAGAPPAR SRN 6534: MARANTHAI,INDIA
5157,83,6005,,,,,,ST PETER CHANEL/MATER DEI,,WESTERN BRISBANE,ROSALIE,THE GAP,ST THERESA (LADIES): THALAKKOTTUKARA,INDIA
5414,83,6458,,,,,,ST PETER CHANEL/MATER DEI,,WESTERN BRISBANE,ROSALIE,THE GAP,ST PIERRE & PAUL: ,VANUATU
3396,84,84,,,,,,ST AMBROSE,,WESTERN BRISBANE,ROSALIE,NEWMARKET,ST ANTHONY: PONNANI,INDIA
,,,,,,,,,,,,,,
5540,85,6635,,,,,,MT ST MICHAEL'S GIRLS COLLEGE,,WESTERN BRISBANE,ROSALIE,ASHGROVE,ST BRITTO: THANNUTHU,INDIA
3398,87,87,,,,,,ST FINN BARR,,WESTERN BRISBANE,ROSALIE,ASHGROVE,ST ANTONY: PERAMBRA,INDIA
4571,87,2110,,,,,,ST FINN BARR,,WESTERN BRISBANE,ROSALIE,ASHGROVE,ST SEBASTIAN: ELLIS NAGAR,INDIA
4572,89,2111,,,,,,ST IGNATIUS,,WESTERN BRISBANE,ROSALIE,TOOWONG,BLESSED PEDRO CALUNSOD: ,PHILIPPINES
5665,89,6787,,,,,,ST IGNATIUS,,WESTERN BRISBANE,ROSALIE,TOOWONG,ST JOACHIM & ANNE: KURUMILANGUDI,INDIA
5749,84,78,,,,,,ST AMBROSE,QLD,WESTERN BRISBANE,ROSALIE,NEWMARKET,ST CATHERINE LABOURE (Y) SRN: 78: ,PHILIPPINES
,,,,,,,,,,,,,,
5159,92,6021,,,,,,ST PETER,,NORTHERN,NORTH COAST,CABOOLTURE,LITTLE FLOWER (VANITHA): KELALOOR,INDIA
3400,93,93,,,,,,LITTLE FLOWER,,NORTHERN,NORTH COAST,BRIBIE ISLAND,ST JOHN THE BAPTIST: NEDUPUZHA,INDIA
3404,93,99,,,,,,LITTLE FLOWER,,NORTHERN,NORTH COAST,BRIBIE ISLAND,ST MARY: NANDIPULAM,INDIA
3371,94,38,,,,,,ST JOSEPH,,NORTHERN,NORTH COAST,DECEPTION BAY,BLESSED SACRAMENT: IMMACULATE CONCEPTION,PHILIPPINES
3401,94,94,,,,,,ST JOSEPH,,NORTHERN,NORTH COAST,DECEPTION BAY,ST JOSEPH: CHERUMKUZHY,INDIA
6346,213,112,,,,,,GOOD SHEPHERD,QLD,NORTHERN,SUNSHINE COAST,KAWANA,ST JOSEPH SRN 112: PONKANDAM,INDIA
3402,95,95,,,,,,O.L.H. OF CHRISTIANS,,NORTHERN,NORTH COAST,REDCLIFFE,ST MARY: ERAVINMANGALAM,INDIA
4721,95,2375,,,,,,O.L.H. OF CHRISTIANS,,NORTHERN,NORTH COAST,REDCLIFFE,SACRED HEART: THIRUVAZHAMKUNNU,INDIA
5153,96,5998,,,,,,OUR MOTHER OF  PERPETUAL HELP,,NORTHERN,NORTH COAST,OZANAM VILLA,LITTLE FLOWER (VANITHA): WADAKANCHERY,INDIA
,,,,,,,,,,,,,,
5538,98,6633,,,,,,O.L. MIRACULOUS MEDAL,,NORTHERN,NORTH COAST,WOODY POINT,ST MARY: PULLENTHERY,INDIA
