Local_To_Overseas_Twinnings::pk_local_to_overseas_twinnings_ID,Local_To_Overseas_Twinnings::fk_localconference_ID,Local_To_Overseas_Twinnings::fk_overseasconference_ID,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_ActiveFlag,Local_To_Overseas_Twinnings::----- U I  F I E L D S -----,Local_To_Overseas_Twinnings::c_UI_local_to_overseas_twinnings_GreenActive,Local_To_Overseas_Twinnings::c_UI_local_to_overseas_twinnings_RedInActive,Local_To_Overseas_Twinnings::----- L O O K  U P S -----,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_Name_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_State_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_DioCouncil_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_RegionalCouncil_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_Parish_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Overseas_Conf_Name_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Overseas_Conf_Country_LU
5226,685,6117,,,,,,ST PETER,,ROCKHAMPTON,ROCKHAMPTON,ROCKHAMPTON,ST JUDE: IDICHAKKAPLAMOODU,INDIA
3707,689,689,,,,,,HOLY SPIRIT,,,HOBART,SANDY BAY,ST JOSEPH (MIX): KEDIRI,INDONESIA
3712,696,696,,,,,,ST ALOYSIUS (DAY),,SYDNEY ARCH,SUTHERLAND,CRONULLA,ST MARY (L): LALAM,INDIA
3713,698,698,,,,,,ST PHILIP NERI,,BROKEN BAY,ST IVES,NORTHBRIDGE,ST ELISABETH (L): GEDONGTATAAN,INDONESIA
3943,698,1101,,,,,,ST PHILIP NERI,,BROKEN BAY,ST IVES,NORTHBRIDGE,ST VINCENTIUS (Y): SURABAYA,INDONESIA
4126,698,1329,,,,,,ST PHILIP NERI,,BROKEN BAY,ST IVES,NORTHBRIDGE,ST JOSEPH (Y): NYUKANGHARJO,INDONESIA
6544,16810,699,,,,,,O.L. OF GOOD COUNSEL,NSW,Broken Bay,ST IVES,FORESTVILLE,ST CORNELIUS (Y) SRN: 699: METRO,INDONESIA
6545,16810,701,,,,,,O.L. OF GOOD COUNSEL,NSW,Broken Bay,ST IVES,FORESTVILLE,ST PETRUS (MIX) SRN: 701: TUBAN,INDONESIA
,,,,,,,,,,,,,,
6546,16810,1100,,,,,,O.L. OF GOOD COUNSEL,NSW,Broken Bay,ST IVES,FORESTVILLE,ST BENOIT LABRE (Y) SRN: 1100: SURABAYA,INDONESIA
6547,16810,1881,,,,,,O.L. OF GOOD COUNSEL,NSW,Broken Bay,ST IVES,FORESTVILLE,ST GEORGE SRN: 1881: VENMONY,INDIA
3715,700,700,,,,,,O.L. OF DOLOURS,,BROKEN BAY,ST IVES,CHATSWOOD,ST TARSISIUS (MIX): TANJUNG KARANG,INDONESIA
3946,700,1105,,,,,,O.L. OF DOLOURS,,BROKEN BAY,ST IVES,CHATSWOOD,ST BARTHOLOMEUS (BLIND): SURABAYA,INDONESIA
4125,700,1328,,,,,,O.L. OF DOLOURS,,BROKEN BAY,ST IVES,CHATSWOOD,ST VINCENTIUS APAULO (MIX): JOMBANG,INDONESIA
5409,700,6451,,,,,,O.L. OF DOLOURS,,BROKEN BAY,ST IVES,CHATSWOOD,ST MANGALA MATHA: PUDUKOTTAI,INDIA
5410,700,6452,,,,,,O.L. OF DOLOURS,,BROKEN BAY,ST IVES,CHATSWOOD,ST JAMES: VENGANOOR,INDIA
5446,703,6491,,,,,,PERSONAL,,SYDNEY ARCH,SUTHERLAND,SUTHERLAND RC,ST MARY: MEVIDA,INDIA
3718,705,705,,,,,,ST IVES (Y),,BROKEN BAY,ST IVES,ST IVES,ST FRAN. XAVERIUS (MIX): KOTABUMI,INDONESIA
3719,706,706,,,,,,ST THOMAS,,BROKEN BAY,ST IVES,WILLOUGHBY,ST YOSEP: SEPANJANG,INDONESIA
3878,706,976,,,,,,ST THOMAS,,BROKEN BAY,ST IVES,WILLOUGHBY,O.L. OF ASSUMPTION: SILIM,THAILAND
3945,706,1104,,,,,,ST THOMAS,,BROKEN BAY,ST IVES,WILLOUGHBY,ST MARIA (MIX): PANUTAN,INDONESIA
3915,707,1067,,,,,,ST PATRICK,,SYDNEY ARCH,SUTHERLAND,SUTHERLAND,CHRIST RAJ: VENGATHANAM,INDIA
5216,707,6096,,,,,,ST PATRICK,,SYDNEY ARCH,SUTHERLAND,SUTHERLAND,ST MARY (WOMEN): MANGALAGIRI,INDIA
3721,709,716,,,,,,QUEEN OF PEACE,,BROKEN BAY,HORNSBY,NORMANHURST,ST PETER: KUMARAKOM,INDIA
4818,709,2508,,,,,,QUEEN OF PEACE,,BROKEN BAY,HORNSBY,NORMANHURST,MT CARMEL: THALAPPUZHA,INDIA
3569,711,394,,,,,,ST AGATHA,,BROKEN BAY,HORNSBY,PENNANT HILLS,ST FRANCIS XAVIER: KURICHY,INDIA
5344,711,6313,,,,,,ST AGATHA,,BROKEN BAY,HORNSBY,PENNANT HILLS,ST MARY: MANKULAM,INDIA
5346,713,6315,,,,,,HOLY NAME,,BROKEN BAY,HORNSBY,WAHROONGA,ST KOLBE: VAZHAPPILLY,INDIA
5347,713,6317,,,,,,HOLY NAME,,BROKEN BAY,HORNSBY,WAHROONGA,ST MARY: MANNOOKKADU,INDIA
3722,718,718,,,,,,ST MARY'S CATHEDRAL,,SYDNEY ARCH,SYDNEY,SYDNEY,ST MARY: MAYAM,INDIA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5801,480,6478,,,,,,SACRED HEART,NSW,BROKEN BAY,ST IVES,PYMBLE,ST SANDHANA MATHA SRN: 6478: MELAMICHAELPATI,INDIA
4809,722,2499,,,,,,ST PATRICK,,SYDNEY ARCH,SYDNEY,CHURCH HILL,ST PAUL: KARUNGALAPATTI,INDIA
5434,722,6479,,,,,,ST PATRICK,,SYDNEY ARCH,SYDNEY,CHURCH HILL,ST AGNES: AGNESPURAM,INDIA
3710,725,693,,,,,,CRAFT LADIES,,BROKEN BAY,NORTHERN BEACHES,BROOKVALE,LOURDE MATHA: ,INDIA
3726,725,725,,,,,,CRAFT LADIES,,BROKEN BAY,NORTHERN BEACHES,BROOKVALE,ST CHRISTOPORUS (MIX): BABADAN,INDONESIA
3930,725,1084,,,,,,CRAFT LADIES,,BROKEN BAY,NORTHERN BEACHES,BROOKVALE,ST PIUS X (MIX): NGAWI,INDONESIA
5023,725,5750,,,,,,CRAFT LADIES,,BROKEN BAY,NORTHERN BEACHES,BROOKVALE,ST VINCENT DE PAUL (JNR): KOOTHRAPPALLY,INDIA
3727,726,726,,,,,,ST CHRISTOPHER,,WOLLONGONG,CAMPBELLTOWN,INGLEBURN,ST THOMAS (Y): ATHIRAMPUZHA,INDIA
3729,728,728,,,,,,ST MARTIN DE PORRES,,BROKEN BAY,NORTHERN BEACHES,DAVIDSON,ST JOSEPH (MIX): NGAWI,INDONESIA
3922,728,1075,,,,,,ST MARTIN DE PORRES,,BROKEN BAY,NORTHERN BEACHES,DAVIDSON,ST MIKAEL (M): GOMBONG,INDONESIA
4139,728,1342,,,,,,ST MARTIN DE PORRES,,BROKEN BAY,NORTHERN BEACHES,DAVIDSON,ST ANTONIUS MARIA: SLEMAN,INDONESIA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3678,731,626,,,,,,SACRED HEART,,BROKEN BAY,NORTHERN BEACH,MONA VALE,ST SEBASTIAN: PANAYAMPALA,INDIA
4946,731,2664,,,,,,SACRED HEART,,BROKEN BAY,NORTHERN BEACH,MONA VALE,AMALA ANNAI: CHINNAMANUR,INDIA
,,,,,,,,,,,,,,
3731,732,732,,,,,,MARY IMMACULATE,,BROKEN BAY,NORTHERN BEACH,MANLY,LAZARUS (MIX): MADIUN,INDONESIA
3763,732,786,,,,,,MARY IMMACULATE,,BROKEN BAY,NORTHERN BEACH,MANLY,SACRED HEART: ,INDIA
4128,732,1331,,,,,,MARY IMMACULATE,,BROKEN BAY,NORTHERN BEACH,MANLY,ST CORNELIUS (M): MADIUN,INDONESIA
4918,732,2633,,,,,,MARY IMMACULATE,,BROKEN BAY,NORTHERN BEACH,MANLY,ST KURIAKOSE (L): VLATHUR,INDIA
4919,732,2634,,,,,,MARY IMMACULATE,,BROKEN BAY,NORTHERN BEACH,MANLY,ST THOMAS: PADAVARAD,INDIA
4920,732,2635,,,,,,MARY IMMACULATE,,BROKEN BAY,NORTHERN BEACH,MANLY,ST JOSEPH: MADAKKATHARA,INDIA
4921,732,2636,,,,,,MARY IMMACULATE,,BROKEN BAY,NORTHERN BEACH,MANLY,ST MARY : VENGINISSERY ,INDIA 
4939,732,2655,,,,,,MARY IMMACULATE,,BROKEN BAY,NORTHERN BEACH,MANLY,MATER DOLOROSA: NAIKOTEN,INDONESIA
5059,732,5794,,,,,,MARY IMMACULATE,,BROKEN BAY,NORTHERN BEACH,MANLY,ST ANTHONY: CHINNAVIALAI,INDIA
5395,732,6417,,,,,,MARY IMMACULATE,,BROKEN BAY,NORTHERN BEACH,MANLY,OUR LADY OF LOURDES: BAAN LAO,THAILAND
3732,733,733,,,,,,ST JOHN THE EVANGELIST,,WOLLONGONG,CAMPBELLTOWN,CAMPBELLTOWN,ST GREGORIOS (L): MANNARKUNNU,INDIA
5287,733,6216,,,,,,ST JOHN THE EVANGELIST,,WOLLONGONG,CAMPBELLTOWN,CAMPBELLTOWN,ST FRANCIS XAVIER: MEENCHANDA,INDIA
3928,734,1081,,,,,,ST JOHN THE BAPTIST,,BROKEN BAY,NORTHERN BEACHES,HARBORD,ST JOSEPH: BAYAT,INDONESIA
5223,734,6112,,,,,,ST JOHN THE BAPTIST,,BROKEN BAY,NORTHERN BEACHES,HARBORD,CHRISTU RAJ: SIVALOGAM,INDIA
,,,,,,,,,,,,,,
6184,16915,2713,,,,,,St Thomas Aquinas,,Wollongong,South Highlands,Bowral,ST ANTONY SRN 2713: GRANBY,INDIA
3734,737,737,,,,,,ST MICHAEL,,WOLLONGONG,NOWRA,NOWRA,BLESS SACRAMENT: KARIMPANY,INDIA
3735,738,738,,,,,,HOLY NAME,,SYDNEY ARCH,SOUTH SYDNEY,MAROUBRA JUNCTION,ST AUGUSTINE: KUDAYATHOOR,INDIA
3736,739,739,,,,,,ST PAUL,,WOLLONGONG,SOUTH HIGHLANDS,MOSS VALE,ST JOSEPH (Y): PUNNATHARA,INDIA
4710,739,2363,,,,,,ST PAUL,,WOLLONGONG,SOUTH HIGHLANDS,MOSS VALE,ST ANTHONY: CHERIAMUTTOM,INDIA
3737,740,740,,,,,,HOLY CROSS,,SYDNEY ARCH,SUTHERLAND,HELENSBURGH,ST THOMAS: KURICHITHANAM,INDIA
,,,,,,,,,,,,,,
3739,742,742,,,,,,MARRICKVILLE,,SYDNEY ARCH,SYDNEY,MARRICKVILLE,ST JOSEPH: CHALLITHARA,INDIA
3742,746,746,,,,,,ST JOHN,,WOLLONGONG,CENT ILLAWARRA,DAPTO,QUEEN OF PEACE (L): PUNNAPRA,INDIA
3769,746,798,,,,,,ST JOHN,,WOLLONGONG,CENT ILLAWARRA,DAPTO,ST SEBASTIAN: ,INDIA
4676,746,2322,,,,,,ST JOHN,,WOLLONGONG,CENT ILLAWARRA,DAPTO,ST HYASINTUS ROBERTUS MIX: SLEMAN,INDONESIA
3743,747,747,,,,,,ST MICHAEL,,WOLLONGONG,WOLLONGONG,THIRROUL,LITTLE FLOWER (L): ARIAD,INDIA
5051,747,5779,,,,,,ST MICHAEL,,WOLLONGONG,WOLLONGONG,THIRROUL,SADAYANKUZHI CONFERENCE: SADAYANKUZHI,INDIA
5399,747,6424,,,,,,ST MICHAEL,,WOLLONGONG,WOLLONGONG,THIRROUL,KRISTUS RAJA: NGAWI,INDONESIA
,,,,,,,,,,,,,,
3745,749,749,,,,,,IMMACULATE CONCEPTION,,WOLLONGONG,WOLLONGONG,UNANDERRA,ST JEROME: ,INDIA
3746,750,750,,,,,,ST PATRICK,,WOLLONGONG,NOWRA,BERRY,ST MARY: MANACHERRY,INDIA
,,,,,,,,,,,,,,
4711,752,2364,,,,,,ST FRANCIS XAVIER,,WOLLONGONG,WOLLONGONG,WOLLONGONG,O.L. OF ASSUMPTION: PARUTHIYOOR,INDIA
3741,753,744,,,,,,ST THERESE,,WOLLONGONG,WOLLONGONG,WEST WOLLONGONG,ST SEBASTIAN: CHEMPUMPURAM,INDIA
5121,753,5935,,,,,,ST THERESE,,WOLLONGONG,WOLLONGONG,WEST WOLLONGONG,LITTLE FLOWER: ALATHUR,INDIA
3829,757,876,,,,,,ST JOHN THE BAPTIST,,BROKEN BAY,GOSFORD,WOY WOY,ST MARY: ,INDIA
3892,757,1005,,,,,,ST JOHN THE BAPTIST,,BROKEN BAY,GOSFORD,WOY WOY,CHRIST RAJ: ,INDIA
4791,757,2478,,,,,,ST JOHN THE BAPTIST,,BROKEN BAY,GOSFORD,WOY WOY,LITTLE FLOWER: MADATHUMBHAGOM,INDIA
5040,757,5768,,,,,,ST JOHN THE BAPTIST,,BROKEN BAY,GOSFORD,WOY WOY,ST JOSEPH (SCHOOL): PILANKALAI,INDIA
5569,757,6669,,,,,,ST JOHN THE BAPTIST,,BROKEN BAY,GOSFORD,WOY WOY,ST SEBASTIAN: MANGLARAM,INDIA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4067,760,1255,,,,,,ST MATTHEW,,LISMORE,HASTINGS,LAURIETON,ST JOSEPH: ARABI,INDIA
5514,760,6587,,,,,,ST MATTHEW,,LISMORE,HASTINGS,LAURIETON,ST JOSEPH: ANGALAJUDURU,INDIA
,,,,,,,,,,,,,,
5629,761,6736,,,,,,MCKILLOP CONFERENCE,,BROKEN BAY,GOSFORD,KARIONG,ST THOMAS (W): KANAMVAYAL,INDIA
,,,,,,,,,,,,,,
4857,762,2549,,,,,,ST AUGUSTINE,,LISMORE,ORARA,COFFS HARBOUR,ST PETER (L): THOTTAKATTUKARA,INDIA
5435,762,6480,,,,,,ST AUGUSTINE,,LISMORE,ORARA,COFFS HARBOUR,OUR LADY OF LOURDES: ANNAI THENNUR,INDIA
4716,767,2369,,,,,,SACRED HEART,,LISMORE,ORARA,DORRIGO,ST MARY: THERMALA,INDIA
5452,767,6500,,,,,,SACRED HEART,,LISMORE,ORARA,DORRIGO,ST MARY: ADIVARAM,INDIA
5042,769,5770,,,,,,ST MICHAEL,,WAGGA WAGGA,WAGGA WAGGA,WAGGA WAGGA,ST MARY (YOUTH LADIES): PILANKALAI,INDIA
5515,769,6588,,,,,,ST MICHAEL,,WAGGA WAGGA,WAGGA WAGGA,WAGGA WAGGA,ST THERESA: PHULBANI,INDIA
3897,771,1017,,,,,,ST JOSESPH,,LISMORE,ORARA,URUNGA,LITTLE FLOWER: RANIGIRI,INDIA
5444,771,6489,,,,,,ST JOSESPH,,LISMORE,ORARA,URUNGA,NITHYA SAHAYA MATHA: VIYYOOR,INDIA
3755,773,773,,,,,,ST PIUS  X,,NORTH WESTERN,GLENELG,WARRNAMBOOL,ST MARY: CHAMPAKULAM,INDIA
3901,773,1023,,,,,,ST PIUS  X,,NORTH WESTERN,GLENELG,WARRNAMBOOL,LITTLE FLOWER (L): ,INDIA
4045,773,1228,,,,,,ST PIUS  X,,NORTH WESTERN,GLENELG,WARRNAMBOOL,ST MARY: KEEZHOOR,INDIA
6308,2099,774,,,,,,ST JOSEPH ASRN: 2099,VIC,NORTH WESTERN,GLENELG,WARRNAMBOOL,ST JOSEPH SRN: 774: KANDANKARY,INDIA
6309,2099,1227,,,,,,ST JOSEPH ASRN: 2099,VIC,NORTH WESTERN,GLENELG,WARRNAMBOOL,STS PETER & PAUL SRN: 1227: KALOOR,INDIA
4882,775,2587,,,,,,ST PATRICK,,LISMORE,CLARENCE,SOUTH GRAFTON,ST ANTONY: COONOOR,INDIA
,,,,,,,,,,,,,,
3902,778,1025,,,,,,ST MARY,,LISMORE,CLARENCE,MACLEAN,ST SEBASTIAN: ,INDIA
4669,778,2315,,,,,,ST MARY,,LISMORE,CLARENCE,MACLEAN,ST MARY: PURAVAYAL,INDIA
3759,780,780,,,,,,ST THERESE LITTLE FLOWER,,LISMORE,RICHMOND,CASINO,ST ANTONY: THAIPARAMBIL,INDIA
5235,780,6126,,,,,,ST THERESE LITTLE FLOWER,,LISMORE,RICHMOND,CASINO,BLESSED ALPHONSA (W): KAVUMMANNAM,INDIA
3760,781,781,,,,,,ST JOHN THE APOSTLE,,BROKEN BAY,NORTHERN BEACHES,NARRAWEENA,LITTLE FLOWER: CHUNKAPARA,INDIA
5393,781,6415,,,,,,ST JOHN THE APOSTLE,,BROKEN BAY,NORTHERN BEACHES,NARRAWEENA,OUR LADY OF ANUNCIATION: BAAN NON-MALEE,THAILAND
3758,782,779,,,,,,O.L. STAR OF THE SEA,,BROKEN BAY,GOSFORD,TERRIGAL,ST MICHAEL: ,INDIA
3761,782,782,,,,,,O.L. STAR OF THE SEA,,BROKEN BAY,GOSFORD,TERRIGAL,ST MARIA GORETTI (L): ,INDIA
3764,782,787,,,,,,O.L. STAR OF THE SEA,,BROKEN BAY,GOSFORD,TERRIGAL,ST SEBASTIAN (L): PLANNARAI,INDIA
,,,,,,,,,,,,,,
5667,782,6789,,,,,,O.L. STAR OF THE SEA,,BROKEN BAY,GOSFORD,TERRIGAL,ST THOMAS (W): CHENNALODE,INDIA
5286,784,6213,,,,,,ST VINCENT DE PAUL AUXILIARY,,LISMORE,RICHMOND,EVANS HEAD,ST JOSEPH: ETTUNKAL,INDIA
5440,789,6485,,,,,,ST JOSEPH,,WAGGA WAGGA,WAGGA WAGGA,JUNEE,ST SEBASTINE: MADATHATTUVILAI,INDIA
5043,790,5771,,,,,,ST EUGENE,,WAGGA WAGGA,WAGGA WAGGA,WAGGA SOUTH,ST MARY: ANAMUZHAM,INDIA
4270,791,1527,,,,,,ST CARTHAGE,,LISMORE,RICHMOND,LISMORE,ST JOSEPH: PALATHINKADAVU,INDIA
5234,791,6125,,,,,,ST CARTHAGE,,LISMORE,RICHMOND,LISMORE,ST BENEDICT: MAKKIAD,INDIA
6055,1341,792,,,,,,NORTHERN BEACHES RC,NSW,BROKEN BAY,NORTHERN BEACHES,REGIONAL COUNCIL,ST MARY SRN: 792: VALAMCHIRA,INDIA
,,,,,,,,,,,,,,
5045,793,5773,,,,,,SACRED HEART,,WAGGA WAGGA,WAGGA WAGGA,KOORINGAL,ST MATHEW: ANNIKARAI,INDIA
5442,793,6487,,,,,,SACRED HEART,,WAGGA WAGGA,WAGGA WAGGA,KOORINGAL,ST BENEDICT: BENGIRI,INDIA
3766,794,794,,,,,,STS PETER & PAUL,,WOLLONGONG,CENT ILLAWARRA,KIAMA,CHRIST RAJ: MAKKANNOOR,INDIA
3767,795,795,,,,,,STELLA MARIS,,WOLLONGONG,CENT ILLAWARRA,WARILLA/SHELLHARBOUR,LOURDE MATHA: ,INDIA
3768,796,796,,,,,,ST PAUL,,WOLLONGONG,CENT ILLAWARRA,ALBION PARK/OAK FLATS,ST JOSEPH: ,INDIA
5306,796,6254,,,,,,ST PAUL,,WOLLONGONG,CENT ILLAWARRA,ALBION PARK/OAK FLATS,ST ALOYSIUS: BANDAR LAMPUNG,INDONESIA
5781,16820,1830,,,,,,St Joseph SRN: 16820,,Wollongong,Wollongong,Bulli,ST MARY LOURDES: ELINJIPRA,INDIA
5952,16820,2382,,,,,,St Joseph SRN: 16820,,Wollongong,Wollongong,Bulli,ST THOMAS SRN: 2382: PILLAPPARA,INDIA
6138,16836,6474,,,,,,Holy Cross,NSW,Broken Bay,Gosford,Kincumber,ST MICHAEL SRN: 6474: EAST MICHAELPATTI,INDIA
6139,6296,6733,,,,,,SACRED HEART,NSW,BROKEN BAY,GOSFORD,UMINA/ETTALONG,HOLY INFANT OF JESUS SRN: 6733: BANGKOK,THAILAND
5834,16836,6737,,,,,,Holy Cross,NSW,Broken Bay,Gosford,Kincumber,HOLY FAMILY-BAN NONG KOO: BAN NONGKOO,THAILAND
3770,799,799,,,,,,ST JOSEPH,,ARMIDALE,TAMWORTH,QUIRINDI,ST SEBASTIAN: NEENDAKARA,INDIA
4850,800,2541,,,,,,ST JOSEPH,,ARMIDALE,ARMIDALE,ARMIDALE,ST JOSEPH: KOCHERIPARAMBU,INDIA
5140,800,5970,,,,,,ST JOSEPH,,ARMIDALE,ARMIDALE,ARMIDALE,ST MARTIN DE PORES: KALLANCHERY,INDIA
,,,,,,,,,,,,,,
3772,802,802,,,,,,ST PATRICK,,ARMIDALE,NORTH EASTERN,GLEN INNES,ST MARY: AROOR,INDIA
3773,802,803,,,,,,ST PATRICK,,ARMIDALE,NORTH EASTERN,GLEN INNES,ST ANTONY (L): VYPEEN,INDIA
4821,802,2511,,,,,,ST PATRICK,,ARMIDALE,NORTH EASTERN,GLEN INNES,ST GEORGE: POOLAPPADAM,INDIA
4854,802,2546,,,,,,ST PATRICK,,ARMIDALE,NORTH EASTERN,GLEN INNES,ST BENEDICT: PANAYIKULAM,INDIA
5372,802,6363,,,,,,ST PATRICK,,ARMIDALE,NORTH EASTERN,GLEN INNES,ST MARY: CHELLISSERY,INDIA
3774,804,804,,,,,,ST JOSEPH,,ARMIDALE,ARMIDALE,URALLA,ST GEORGE: ARASUPURAM,INDIA
3776,806,806,,,,,,ST MARY STAR OF THE SEA,,WOLLONGONG,NOWRA,GERRINGONG,ST JOSEPH: ,INDIA
,,,,,,,,,,,,,,
3778,808,808,,,,,,SVDP CENTRE AUXILIARY,,ARMIDALE,TAMWORTH,QUIRINDI,O.L. OF MIRACLES (L): THOPPUMPADY,INDIA
4865,809,2567,,,,,,ST GERARD (L),,ARMIDALE,ARMIDALE,ARMIDALE,ST JAMES: PALAKKURICHI,INDIA
3779,810,810,,,,,,ST PAUL,,ARMIDALE,NORTH EASTERN,INVERELL,ST SEBASTIAN: CHELLANAM,INDIA
3780,811,811,,,,,,ST PATRICK,,ARMIDALE,TAMWORTH,TAMWORTH WEST,ST PAUL (Y): KUMBALANGHI,INDIA
3781,813,813,,,,,,ST MARY,,ARMIDALE,NORTH EASTERN,INVERELL,ST ANTONY: ERAMALLOR,INDIA
,,,,,,,,,,,,,,
3782,814,814,,,,,,ST JOSEPH,,ARMIDALE,NAMOI BARWON,GUNNEDAH,FATIMA MATHA: KUTHIRAKKOORKARI,INDIA
4852,814,2543,,,,,,ST JOSEPH,,ARMIDALE,NAMOI BARWON,GUNNEDAH,ST JOSEPH: KADAMAKKUDY,INDIA
4853,814,2544,,,,,,ST JOSEPH,,ARMIDALE,NAMOI BARWON,GUNNEDAH,ST MARY GORETTI (L): CHARAIYANTHURUTH,INDIA
3785,818,818,,,,,,ST PETER CHANEL,,SYDNEY ARCH,LIBERTY PLAINS,BERALA,ST SEBASTIAN: KUTTIPUZHA,INDIA
4497,819,1919,,,,,,ST PHILIP,,MAITLAND/NEWCASTLE,EAST LAKES,KOTARA SOUTH,ST THOMAS: ,INDIA
4808,819,2498,,,,,,ST PHILIP,,MAITLAND/NEWCASTLE,EAST LAKES,KOTARA SOUTH,O.L. OF ROSARY (L): DINDIGUL,INDIA
4011,820,1184,,,,,,ST JOSEPH,,MAITLAND/NEWCASTLE,LAKE MACQUARIE,BOOLAROO,HOLY FAMILY: ,INDIA
5296,820,6233,,,,,,ST JOSEPH,,MAITLAND/NEWCASTLE,LAKE MACQUARIE,BOOLAROO,O.L. OF SNOW: NAVIS NAGAR,INDIA
3787,823,824,,,,,,PERSONAL   ST ALOYSIUS,,SYDNEY ARCH,SUTHERLAND,ST ALOYSIUS,ST THOMAS: POOVATHODE,INDIA
5895,16846,2595,,,,,,Personal ,,Sydney,Sutherland,Personal,ST JOHN (L) SRN: 2595: CHANNAPPETTA,INDIA
5986,419,825,,,,,,REGIONAL COUNCIL,NSW,SYDNEY ARCH,SUTHERLAND,SUTHERLAND ,ST MICHAEL SRN: 825: IDAMATTOM,INDIA
3789,826,826,,,,,,PERSONAL,,SYDNEY ARCH,SUTHERLAND,MATER DEI,AMALOLBHAVAN MATHA (L): PAIKA,INDIA
3790,827,827,,,,,,HOLY FAMILY,,MAITLAND/NEWCASTLE,NEWCASTLE,MEREWETHER BEACH,ST JOSEPH: ,PAKISTAN
4242,827,1486,,,,,,HOLY FAMILY,,MAITLAND/NEWCASTLE,NEWCASTLE,MEREWETHER BEACH,ST SAMUEL: ,PAKISTAN
3792,830,830,,,,,,ST JOSEPH/ST MARY,,SYDNEY ARCH,SOUTH SYDNEY,MAROUBRA,ST MARY: ARAKKULUMNEW,INDIA
,,,,,,,,,,,,,,
3793,831,831,,,,,,NEWCASTLE REGIONAL COUNCIL,,MAITLAND/NEWCASTLE,NEWCASTLE SOUTH,,ST JOHN OF GILLWALLA: ,PAKISTAN
5520,831,6595,,,,,,NEWCASTLE REGIONAL COUNCIL,,MAITLAND/NEWCASTLE,NEWCASTLE SOUTH,,ST ANTONY: PAZHOOR,INDIA
6303,839,832,,,,,,CORPUS CHRISTI,NSW,MAITLAND/NEWCASTLE,NEWCASTLE,WARATAH,MARY HELP OF CHRISTIANS-PANOM  SRN: 832: PANOM,THAILAND
6304,839,838,,,,,,CORPUS CHRISTI,NSW,MAITLAND/NEWCASTLE,NEWCASTLE,WARATAH,ST JOSEPH SRN: 838: BANDONDOO,THAILAND
3795,834,834,,,,,,ST ALPHONSUS,,MAITLAND/NEWCASTLE,NEWCASTLE,MAYFIELD,O.L. OF ANNUNCIATION: ,THAILAND
5340,834,6309,,,,,,ST ALPHONSUS,,MAITLAND/NEWCASTLE,NEWCASTLE,MAYFIELD,HOLY REDEEMER: CHANDBURI,THAILAND
3796,835,835,,,,,,ST JOHN THE BAPTIST,,MAITLAND/NEWCASTLE,NEWCASTLE,MAYFIELD WEST,ST FRANCIS DE SALES: BAN CHIANGYUEN,THAILAND
3797,836,836,,,,,,ST MICHAEL,,MAITLAND/NEWCASTLE,PORT STEPHENS,NELSON BAY,O.L. OF PURIFICATION: ,THAILAND
4667,836,2313,,,,,,ST MICHAEL,,MAITLAND/NEWCASTLE,PORT STEPHENS,NELSON BAY,ST VINCENT DE PAUL: ,THAILAND
3800,839,839,,,,,,CORPUS CHRISTI,,MAITLAND/NEWCASTLE,NEWCASTLE,WARATAH,O.L. OF LOURDES: HAAD YAI,THAILAND
3804,843,843,,,,,,ST JOSEPH (NIGHT),,MAITLAND/NEWCASTLE,LOWER HUNTER,EAST MAITLAND,CHRIST THE KING: BAN NA CHAN,THAILAND
3805,844,844,,,,,,ST JOSEPH (DAY),,MAITLAND/NEWCASTLE,LOWER HUNTER,EAST MAITLAND,O.L. OF FATIMA: THARAE,THAILAND
3806,845,845,,,,,,ST CATHERINE,,MAITLAND/NEWCASTLE,VINEYARD,GRETA,ST ANNE: ,THAILAND
3809,848,848,,,,,,ST PAUL,,MAITLAND/NEWCASTLE,LOWER HUNTER,RUTHERFORD,O.L. OF MERCY: SONGKONG,THAILAND
3810,849,849,,,,,,ST PATRICK,,MAITLAND/NEWCASTLE,UPPER HUNTER,SINGLETON,SACRED HEART OF JESUS: CHIANGMAI,THAILAND
3811,850,850,,,,,,ST JAMES,,MAITLAND/NEWCASTLE,UPPER HUNTER,MUSWELLBROOK,MARY HELP OF CHRISTIANS: PARN,THAILAND
3970,850,1139,,,,,,ST JAMES,,MAITLAND/NEWCASTLE,UPPER HUNTER,MUSWELLBROOK,ST ANTHONY: NAHKOKE,THAILAND
5339,850,6308,,,,,,ST JAMES,,MAITLAND/NEWCASTLE,UPPER HUNTER,MUSWELLBROOK,MOTHER OF PERPETUAL HELP: KLONGCHANG,THAILAND
